Consumer query:

Ranked results from semantic matching: 
1. Supplier Name: Grant-Becker, Similarity Score: 0.86
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Milling, Offered Material: AusteniticStainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
112. Supplier Name: Hansen, Abbott and Lakin, Similarity Score: 0.52
Offered Process: GearHobbing, Offered Material: StainlessSteel_304, Offered Machine: GearShaperMachine, Offered Capacity: 150, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
113. Supplier Name: Koelpin, Jast and Wisozk, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_316, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
114. Supplier Name: Green, O'Reilly and Kertzmann, Similarity Score: 0.52
Offered Process: PrecisionMilling, Offered Material: LowAlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: HorizontalMilling, Offered Material: StainlessSteel_302, Offered Machine: HorizontalMillingMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
115. Supplier Name: Farrell-Skiles, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Planing, Offered Material: StainlessSteel_316, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
116. Supplier Name: Smith, Huels and Morar, Similarity Score: 0.52
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: VerticalMilling, Offered Material: WhiteIron, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
117. Supplier Name: Wiegand, Cormier and Jones, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: MalleableIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
118. Supplier Name: Harber, Rohan and Casper, Similarity Score: 0.52
Offered Process: Milling, Offered Material: AlloySteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
119. Supplier Name: Crooks-Spinka, Similarity Score: 0.52
Offered Process: VerticalMilling, Offered Material: StainlessSteel_316, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: MartensiticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
120. Supplier Name: Ferry-Runolfsson, Similarity Score: 0.52
Offered Process: WireEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-01-15 - 2019-04-01
121. Supplier Name: Medhurst, Mohr and Wyman, Similarity Score: 0.52
Offered Process: Shaping, Offered Material: CompactedGraphiteIron, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: SinkerEDM, Offered Material: MartensiticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
122. Supplier Name: Veum Inc, Similarity Score: 0.52
Offered Process: Milling, Offered Material: HighAlloySteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
123. Supplier Name: Pacocha-Jacobs, Similarity Score: 0.52
Offered Process: Milling, Offered Material: HighAlloySteel, Offered Machine: MillingMachine, Offered Capacity: 50, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
124. Supplier Name: Okuneva, Hilll and Stehr, Similarity Score: 0.52
Offered Process: PrecisionMilling, Offered Material: CastIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: PrecisionMilling, Offered Material: HighAlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
125. Supplier Name: Sawayn, Hand and Bahringer, Similarity Score: 0.52
Offered Process: SinkerEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_316, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
126. Supplier Name: Heathcote Inc, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: CastIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: CNCTurning, Offered Material: StainlessSteel_302, Offered Machine: CNCTurnMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
127. Supplier Name: Mitchell, Harris and Reynolds, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: StainlessSteel_302, Offered Machine: CNCTurnMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
128. Supplier Name: O'Keefe Inc, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: StainlessSteel_302, Offered Machine: CNCTurnMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WireEDM, Offered Material: StainlessSteel_316, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
129. Supplier Name: Larson-Gaylord, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: StainlessSteel_304, Offered Machine: CNCTurnMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
130. Supplier Name: Zieme, Reynolds and Jones, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
131. Supplier Name: Harber, Rohan and Casper, Similarity Score: 0.52
Offered Process: Milling, Offered Material: AlloySteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
132. Supplier Name: Von, Fritsch and Waters, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: VerticalMilling, Offered Material: StainlessSteel_316, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: CompactedGraphiteIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
133. Supplier Name: Huels, Collins and Daugherty, Similarity Score: 0.52
Offered Process: WireEDM, Offered Material: AusteniticStainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: AlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
134. Supplier Name: Schmitt-O'Connell, Similarity Score: 0.52
Offered Process: LaserBeamCutting, Offered Material: AusteniticStainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
135. Supplier Name: Dooley-Hyatt, Similarity Score: 0.52
Offered Process: Milling, Offered Material: StainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: WireEDM, Offered Material: CarbonSteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WaterJetCutting, Offered Material: CompactedGraphiteIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-01-01 - 2019-03-15
136. Supplier Name: Abshire, Anderson and Jacobson, Similarity Score: 0.52
Offered Process: VerticalMilling, Offered Material: CompactedGraphiteIron, Offered Machine: VerticalMillingMachine, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: CNCMilling, Offered Material: MartensiticStainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
137. Supplier Name: Cole, Abernathy and Bergstrom, Similarity Score: 0.52
Offered Process: Milling, Offered Material: MartensiticStainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
138. Supplier Name: Gibson Inc, Similarity Score: 0.52
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel_400, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel_302, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 150, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCMilling, Offered Material: MartensiticStainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
139. Supplier Name: Leffler Inc, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: HighAlloySteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
140. Supplier Name: Harber, Rohan and Casper, Similarity Score: 0.52
Offered Process: Milling, Offered Material: AlloySteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
141. Supplier Name: Gibson Inc, Similarity Score: 0.52
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel_400, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel_302, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 150, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCMilling, Offered Material: MartensiticStainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
142. Supplier Name: Kessler-Corkery, Similarity Score: 0.52
Offered Process: Milling, Offered Material: StainlessSteel_400, Offered Machine: MillingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: SinkerEDM, Offered Material: StainlessSteel_316, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Milling, Offered Material: StainlessSteel_400, Offered Machine: MillingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WireEDM, Offered Material: CastIron, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: WaterJetCutting, Offered Material: CompactedGraphiteIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: GearHobbing, Offered Material: StainlessSteel, Offered Machine: GearShaperMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
143. Supplier Name: Huel, Hilpert and Kovacek, Similarity Score: 0.52
Offered Process: Shaping, Offered Material: WhiteIron, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: CNCMilling, Offered Material: CastIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: SinkerEDM, Offered Material: AlloySteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
144. Supplier Name: Swaniawski-Ondricka, Similarity Score: 0.52
Offered Process: HoleMaking, Offered Material: StainlessSteel_302, Offered Machine: EDMDrillingMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: LowAlloySteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
145. Supplier Name: Fisher, Batz and Kling, Similarity Score: 0.52
Offered Process: Planing, Offered Material: StainlessSteel_316, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCTurning, Offered Material: StainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: Milling, Offered Material: CarbonSteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
146. Supplier Name: Grady and Sons, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_304, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Planing, Offered Material: HighCarbonSteel, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
147. Supplier Name: Gibson Inc, Similarity Score: 0.52
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel_400, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel_302, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 150, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCMilling, Offered Material: MartensiticStainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
148. Supplier Name: Sawayn, Hand and Bahringer, Similarity Score: 0.52
Offered Process: SinkerEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_316, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
149. Supplier Name: Corwin-Batz, Similarity Score: 0.52
Offered Process: Planing, Offered Material: StainlessSteel_302, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
150. Supplier Name: Mante, Bernier and Rempel, Similarity Score: 0.52
Offered Process: Shaping, Offered Material: StainlessSteel_316, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO9001, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: WaterJetCutting, Offered Material: AlloySteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
151. Supplier Name: Von, Fritsch and Waters, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: VerticalMilling, Offered Material: StainlessSteel_316, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: CompactedGraphiteIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
152. Supplier Name: Greenfelder-Rau, Similarity Score: 0.52
Offered Process: HoleMaking, Offered Material: StainlessSteel_316, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
153. Supplier Name: Goyette-Quitzon, Similarity Score: 0.52
Offered Process: Planing, Offered Material: HighCarbonSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_304, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
154. Supplier Name: Kemmer, Reichel and Osinski, Similarity Score: 0.52
Offered Process: WireEDM, Offered Material: Steel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_302, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
155. Supplier Name: Tillman-Marvin, Similarity Score: 0.52
Offered Process: VerticalMilling, Offered Material: AusteniticStainlessSteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
156. Supplier Name: Hermiston, Gibson and Williamson, Similarity Score: 0.52
Offered Process: Planing, Offered Material: MartensiticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Shaping, Offered Material: CompactedGraphiteIron, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: Milling, Offered Material: StainlessSteel_304, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Shaping, Offered Material: AusteniticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
157. Supplier Name: Will, Beahan and Doyle, Similarity Score: 0.52
Offered Process: Shaping, Offered Material: AusteniticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
158. Supplier Name: Feest-Quigley, Similarity Score: 0.52
Offered Process: LaserBeamCutting, Offered Material: HighAlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: Shaping, Offered Material: Steel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: HoleMaking, Offered Material: AlloySteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
159. Supplier Name: Anderson, Nader and Block, Similarity Score: 0.52
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
160. Supplier Name: Stark-Cummings, Similarity Score: 0.52
Offered Process: SinkerEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WaterJetCutting, Offered Material: MalleableIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: PrecisionMilling, Offered Material: HighCarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: HorizontalMilling, Offered Material: MalleableIron, Offered Machine: HorizontalMillingMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
161. Supplier Name: Bartell LLC, Similarity Score: 0.52
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_316, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: WhiteIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
162. Supplier Name: Schultz, Smitham and Hodkiewicz, Similarity Score: 0.52
Offered Process: Milling, Offered Material: CarbonSteel, Offered Machine: MillingMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Milling, Offered Material: StainlessSteel_304, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: ElectricalDischargeMachining, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
163. Supplier Name: Halvorson, Reichert and Hagenes, Similarity Score: 0.52
Offered Process: CNCTurning, Offered Material: HighAlloySteel, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
164. Supplier Name: Nitzsche, Stiedemann and Lockman, Similarity Score: 0.52
Offered Process: ManualMilling, Offered Material: StainlessSteel_302, Offered Machine: ManualMachineTool, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: LaserBeamCutting, Offered Material: LowAlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
165. Supplier Name: Harber, Rohan and Casper, Similarity Score: 0.52
Offered Process: Milling, Offered Material: AlloySteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: StainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: Steel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
166. Supplier Name: DuBuque LLC, Similarity Score: 0.51
Offered Process: HoleMaking, Offered Material: MediumCarbonSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: SinkerEDM, Offered Material: StainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-02-15 - 2019-05-01
167. Supplier Name: Kuhn and Sons, Similarity Score: 0.51
Offered Process: CNCTurning, Offered Material: StainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 125, Certification: ISO14000, Available from-to: 2019-01-01 - 2019-03-15
168. Supplier Name: Kuhlman and Sons, Similarity Score: 0.51
Offered Process: SinkerEDM, Offered Material: StainlessSteel_400, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
